 69: 1648.575684, 1816.454712 avg loss, 0.000000 rate, 10.373752 seconds, 4416 images
 70: 1621.749512, 1796.984131 avg loss, 0.000000 rate, 10.379959 seconds, 4480 images
 71: 2832.281982, 1900.513916 avg loss, 0.000000 rate, 16.402129 seconds, 4544 images
 72: 2777.238525, 1988.186401 avg loss, 0.000000 rate, 16.594356 seconds, 4608 images
 73: 2716.849854, 2061.052734 avg loss, 0.000000 rate, 16.650596 seconds, 4672 images
 74: 2651.090088, 2120.056396 avg loss, 0.000000 rate, 16.653589 seconds, 4736 images
 75: 2580.666992, 2166.117432 avg loss, 0.000000 rate, 16.587221 seconds, 4800 images
 76: 2505.643555, 2200.070068 avg loss, 0.000000 rate, 16.562500 seconds, 4864 images
 77: 2425.411865, 2222.604248 avg loss, 0.000000 rate, 16.558026 seconds, 4928 images
 78: 2342.634766, 2234.607422 avg loss, 0.000000 rate, 16.603089 seconds, 4992 images
 79: 2254.638184, 2236.610596 avg loss, 0.000000 rate, 16.606346 seconds, 5056 images
 80: 2162.925537, 2229.242188 avg loss, 0.000000 rate, 16.670436 seconds, 5120 images
 81: 1740.110352, 2180.329102 avg loss, 0.000000 rate, 14.144926 seconds, 5184 images
 82: 1661.323608, 2128.428467 avg loss, 0.000000 rate, 14.268155 seconds, 5248 images
 83: 1581.522339, 2073.737793 avg loss, 0.000000 rate, 14.260748 seconds, 5312 images
 84: 1502.637329, 2016.627686 avg loss, 0.000000 rate, 14.253543 seconds, 5376 images
 85: 1428.407471, 1957.805664 avg loss, 0.000000 rate, 14.264910 seconds, 5440 images
 86: 1351.071167, 1897.132202 avg loss, 0.000000 rate, 14.259707 seconds, 5504 images
 87: 1274.954956, 1834.914429 avg loss, 0.000000 rate, 14.266226 seconds, 5568 images
 88: 1202.553955, 1771.678345 avg loss, 0.000000 rate, 14.258633 seconds, 5632 images
 89: 1131.048706, 1707.615356 avg loss, 0.000000 rate, 14.271914 seconds, 5696 images
 90: 1062.723145, 1643.126099 avg loss, 0.000000 rate, 14.256105 seconds, 5760 images
 91: 906.779114, 1569.491455 avg loss, 0.000000 rate, 13.191806 seconds, 5824 images
 92: 847.862488, 1497.328613 avg loss, 0.000000 rate, 13.323833 seconds, 5888 images
 93: 794.041260, 1426.999878 avg loss, 0.000000 rate, 13.309113 seconds, 5952 images
 94: 740.886841, 1358.388550 avg loss, 0.000000 rate, 13.314231 seconds, 6016 images
 95: 690.707092, 1291.620361 avg loss, 0.000000 rate, 13.323421 seconds, 6080 images
 96: 645.619080, 1227.020264 avg loss, 0.000000 rate, 13.318196 seconds, 6144 images
 97: 602.285034, 1164.546753 avg loss, 0.000000 rate, 13.304493 seconds, 6208 images
 98: 557.510010, 1103.843018 avg loss, 0.000000 rate, 13.335987 seconds, 6272 images
 99: 518.760925, 1045.334839 avg loss, 0.000000 rate, 13.325919 seconds, 6336 images
 100: 483.317108, 989.133057 avg loss, 0.000000 rate, 13.325198 seconds, 6400 images
 101: 259.328156, 916.152588 avg loss, 0.000000 rate, 7.697676 seconds, 6464 images
 102: 242.772064, 848.814514 avg loss, 0.000000 rate, 7.695941 seconds, 6528 images
 103: 226.303085, 786.563354 avg loss, 0.000000 rate, 7.706813 seconds, 6592 images
 104: 211.322327, 729.039246 avg loss, 0.000000 rate, 7.727484 seconds, 6656 images
 105: 197.151321, 675.850464 avg loss, 0.000000 rate, 7.716659 seconds, 6720 images
 106: 185.090897, 626.774536 avg loss, 0.000000 rate, 7.704585 seconds, 6784 images
 107: 173.112045, 581.408264 avg loss, 0.000000 rate, 7.707209 seconds, 6848 images
 108: 162.766632, 539.544128 avg loss, 0.000000 rate, 7.683474 seconds, 6912 images
 109: 152.994003, 500.889130 avg loss, 0.000000 rate, 7.676138 seconds, 6976 images
 110: 144.367065, 465.236938 avg loss, 0.000000 rate, 7.704944 seconds, 7040 images
 111: 171.676636, 435.880920 avg loss, 0.000000 rate, 10.248913 seconds, 7104 images
 112: 162.689529, 408.561768 avg loss, 0.000000 rate, 10.374316 seconds, 7168 images
 113: 153.354935, 383.041077 avg loss, 0.000000 rate, 10.352328 seconds, 7232 images
 114: 144.564270, 359.193390 avg loss, 0.000000 rate, 10.355784 seconds, 7296 images
 115: 136.225861, 336.896637 avg loss, 0.000000 rate, 10.385718 seconds, 7360 images
 116: 128.271194, 316.034088 avg loss, 0.000000 rate, 10.379856 seconds, 7424 images
 117: 121.466141, 296.577301 avg loss, 0.000000 rate, 10.390732 seconds, 7488 images
 118: 114.202255, 278.339783 avg loss, 0.000000 rate, 10.380198 seconds, 7552 images
 119: 107.932159, 261.299011 avg loss, 0.000000 rate, 10.366259 seconds, 7616 images
 120: 101.492912, 245.318405 avg loss, 0.000000 rate, 10.369420 seconds, 7680 images
 121: 130.869812, 233.873550 avg loss, 0.000000 rate, 13.168090 seconds, 7744 images
 122: 123.121918, 222.798386 avg loss, 0.000000 rate, 13.319696 seconds, 7808 images
 123: 115.756737, 212.094223 avg loss, 0.000000 rate, 13.335226 seconds, 7872 images
 124: 109.225822, 201.807388 avg loss, 0.000000 rate, 13.371315 seconds, 7936 images
 125: 102.583885, 191.885040 avg loss, 0.000000 rate, 13.344843 seconds, 8000 images
 126: 95.557281, 182.252258 avg loss, 0.000000 rate, 13.351135 seconds, 8064 images
 127: 89.137733, 172.940811 avg loss, 0.000000 rate, 13.325389 seconds, 8128 images
 128: 83.896248, 164.036362 avg loss, 0.000000 rate, 13.301771 seconds, 8192 images
 129: 78.346809, 155.467407 avg loss, 0.000000 rate, 13.296034 seconds, 8256 images
 130: 73.008507, 147.221512 avg loss, 0.000000 rate, 13.323399 seconds, 8320 images
 131: 45.238911, 137.023254 avg loss, 0.000000 rate, 9.591682 seconds, 8384 images
 132: 42.180119, 127.538940 avg loss, 0.000000 rate, 9.662005 seconds, 8448 images
 133: 39.866947, 118.771744 avg loss, 0.000000 rate, 9.666505 seconds, 8512 images
 134: 36.751488, 110.569717 avg loss, 0.000000 rate, 9.688170 seconds, 8576 images
 135: 34.591595, 102.971909 avg loss, 0.000000 rate, 9.676418 seconds, 8640 images
 136: 32.586884, 95.933403 avg loss, 0.000000 rate, 9.685593 seconds, 8704 images
 137: 30.507282, 89.390793 avg loss, 0.000000 rate, 9.682517 seconds, 8768 images
 138: 28.817137, 83.333427 avg loss, 0.000000 rate, 9.697148 seconds, 8832 images
 139: 27.111164, 77.711205 avg loss, 0.000000 rate, 9.670494 seconds, 8896 images
 140: 25.594187, 72.499504 avg loss, 0.000000 rate, 9.676352 seconds, 8960 images
 141: 51.045815, 70.354134 avg loss, 0.000000 rate, 18.396105 seconds, 9024 images
